nombre,altura,peso
Manuelita Valenzuela Ibáñez,171.1266188847061,60.650625739067785
Paco Cerdá-Zamora,159.19397645519808,50.844917677968965
Ester Florina Pera Azcona,164.6106155863436,43.48675395378129
Angélica Cañas Medina,160.95764081234907,59.10399910383691
Patricio Piña Calzada,184.58129314951063,74.60587572870035
María José Viana,171.94457416250955,73.5583627941927
Josefa Yésica Noguera Lopez,162.76642450606744,30.30677258892652
Emiliana Barceló-Pla,192.3754153448064,71.25096131901893
Cintia Gomez Giralt,161.16682809580988,62.78253362873227
Miguel Ángel Ramis Ortega,161.48733063382792,37.370930464854055
Julio César Benito Riera,160.46215307865222,44.71487883341264
Graciano Ribera Lillo,199.4877024174758,157.63474502873927
Cleto Barragán Cruz,170.74464713249583,56.25486140663208
Pepe Padilla Cañellas,140.0,41.40703851429788
Juan Luis Ayala Bas,161.55269109390338,52.90613729222748
Moreno Campos Posada,155.2913311924553,47.28016970349312
Consuelo Sales Batlle,157.72903960835788,38.041728892340565
Cipriano Bayona-Bárcena,142.82019592872942,62.43088343323633
Vilma Sáez Figueras,180.6835814199486,86.672903819607
Leticia Villegas Anguita,175.84648233641013,104.82663855887635
Itziar Macías Carnero,161.2519617536618,90.93813890203052
Encarnita del Domínguez,171.90105362494776,44.59444385731001
Áurea Cruz Valera,140.0,46.70553437949989
Berto Tovar Gisbert,186.64877436822863,117.97621199364744
Rolando del Juan,181.97765262139075,73.56059030878036
Blas Cruz Romeu,152.6476557029397,58.84388120903938
Ramona Morera Cabrero,178.5954551216526,40.86634866576046
Carla Galán-Sebastián,154.91604572379458,70.19387918298887
Eladio Palomar,160.9865982622198,55.06805764597868
Paco Sosa Vergara,193.38332525335207,101.9623792490979
Trinidad Ferrer Castells,153.45648908874904,42.28458566255198
Ángeles del Sanjuan,158.52522051358105,25.19195021987713
Maribel Recio Garcia,166.954203132238,55.751866888223866
Débora Pol,186.74811381179128,83.79936300911851
Lorena Acevedo Lobato,157.73061531642924,92.08052704401705
Agustín Lara-Rico,186.45221997763056,66.024648450776
Custodia de Gonzalez,195.09936421411757,78.46389662972464
Benigno Saura Guardia,187.86938790433447,35.958114633040815
Aránzazu Piedad Solé Cases,169.8119938108125,70.2955173698269
Emelina de Mena,153.13084162103797,50.86619397349574
Azeneth Viana Teruel,157.5997879331179,56.70158424044181
Odalys Andrea Hidalgo Ferrer,168.99506019181874,40.515500897186016
Ariel López Paniagua,143.03944560449062,75.24550711315894
Chelo Solé Seco,187.24062598610303,47.63861645380054
Joaquín Vito Tur Anglada,178.94531752673606,121.59007576526912
Joel Aparicio Juárez,168.85541767147507,40.58879910821437
Cornelio Nebot Abad,164.485628985178,57.99038148879522
Flor Domínguez-Ferrán,178.0325493520318,68.74710512116194
Primitivo del Dueñas,158.00936936090795,30.370407185613963
Evelia Araujo Cuéllar,176.7536722005254,33.45096252597366
Primitiva Roura Roldán,157.99123026030873,61.1415361528616
Antonio Rogelio Espejo Aragonés,140.0,51.03549092137404
María Pilar Cobos Morales,181.31102803478143,74.67214697040392
Belen Coll Julián,183.7117143878539,123.1174099388072
Luz Sierra-Huerta,179.4741600968587,44.31693817630918
Reynaldo del Carmona,171.96529865355708,83.65150072227937
Eligio del Alegria,170.25333637910907,32.54521876637691
Melchor Egea Tomás,164.1821265583937,103.4077712907251
Loida Hurtado-Sáez,169.4381067821443,37.93628222765068
Nacio Bayona,174.57138254630254,30.526268643751763
Emiliano de Ballesteros,178.2750895324477,36.43534670995423
Aurelio Juárez-Durán,149.95769813890087,67.58698411676794
Paloma Alegria-Gimenez,176.46792691933922,76.393335135513
Regina Ariño Castilla,181.93193018406544,33.94383575598557
Bárbara Cáceres Terrón,189.95034333334053,66.05018426137654
Ileana Huerta Rocha,155.98647635430942,95.10818695487389
Amparo Alberola Pozuelo,154.9372976175031,24.167738977063102
Salomé Tomás Arteaga,167.30322582179963,99.27122017591708
Fátima Sacristán,151.70138441717955,49.259790154873016
Emiliano Hernán Santamaría Cabo,177.73382907137707,46.09709974636263
Eusebio Canals Sanabria,179.22269880013158,74.34566312831878
Tatiana Casares,169.49855848116172,38.02085167193715
María Carmen Real Verdugo,147.88226361163987,45.841189751161565
Pánfilo de Mas,192.02271752719167,49.27328336398535
Héctor Pánfilo Gutierrez Roman,149.29049170204007,22.67779110947076
Imelda Alonso Castañeda,161.29830046121353,82.23050478615372
Alfonso Mármol Haro,194.87538095979653,56.08061150172223
Jenny Matas,157.3544519618557,67.74801647245329
Benita Marco Diéguez,179.34074025684183,109.37475578626656
Virginia Asenjo Fábregas,173.6392685114022,34.02888300767541
Cristóbal Sarabia Palomares,156.01279348950777,75.0121917343763
Sosimo Pagès Ribera,170.73099074961132,44.57986202601387
Berto Zurita Jaume,163.1175805536802,56.061477215677215
Amada Cámara Sevilla,185.74765847512668,65.09107308852917
Isabel Galván Mascaró,189.42223951715837,72.21132764422158
Piedad Hernández-Oliveras,140.0,22.605947724794717
Carmina Huerta-Noguera,184.7258828549208,48.32207118429907
Lupe Abigaíl Alba Benitez,144.93151918033615,28.567895325018046
Zaida Odalys Fuster Rueda,182.91859496087272,112.11959582186124
Pilar Martorell Becerra,169.0381361654935,94.2794706714222
Anna Canals-Vicente,174.53459138568135,90.76854511749016
Estela del Francisco,190.894045343806,105.47879779518874
Judith Saez-Reina,158.51305273033344,98.54273260428349
Norberto Montalbán Pinedo,140.0,29.21179055395659
Graciana Azcona Gutierrez,165.0453643498281,35.629047767920206
Amancio Acuña Losada,179.79996559903938,78.69909731157934
Reyna Sotelo Dávila,173.81114436520264,101.89509809707712
Candela Barrena Paniagua,167.53689842707797,90.77986943072784
Hipólito Paz-Comas,157.35563416390383,88.30415566691902
Esperanza Casanovas Saez,172.1051642709293,84.98767945427173
Ángeles Manuel,155.86392124041765,31.074320356596505
Rómulo Talavera-Lopez,176.06541717282673,70.22185500583751
Casandra Salinas Pol,178.7387438153068,72.07546568159313
Marcio Terrón Arteaga,193.3518547922833,138.81387996850555
Florencio Guardiola Mate,170.00771278104804,112.44361589230834
Quique Herminio Bolaños Mir,163.53911973095467,29.483551974055704
Cecilia Juárez Porcel,186.180927214998,53.40846456402707
Jacinto Sanjuan Juárez,157.75778395848346,94.98788006348433
Feliciano Castell Parra,155.40474261718268,84.2972803336896
Sergio Pérez Jordán,153.81481206830705,36.3999606581431
Asunción Lola Riba Rocha,177.27186699167464,73.22982345868277
Felisa del Andrés,171.1448870764355,85.12628251108755
Mar Fuster,183.40504676376835,79.0018843812517
Anselmo Tena Cordero,195.22646217051675,57.69112888521543
Clotilde Ros Casanova,152.44247867844908,80.28445297475297
Julio César Macías Valderrama,195.24701246205936,74.36509866029324
Elba Seco Aguilar,162.97002761350288,102.04694517570896
Eli Araujo,151.4720126530274,30.42235937234159
Quique Barragán Alvarez,153.42096449545576,37.106905462524686
Manu Eusebia Goñi Ortega,147.44511131445654,52.784329643784496
Paloma Varela,166.77317205002376,109.2618808127809
Vito Alcaraz Carbajo,150.67244080573843,47.88069101863493
Erasmo Villalonga Royo,145.57743395273974,65.41967142714115
Jose Carlos Vega Manso,164.4516194052581,59.54670246792682
Chema de Solano,157.2399852667173,48.20437478103166
Régulo de Lastra,149.0891308245636,47.00461191031148
Artemio Martí Garay,149.60020618042648,54.87798816169118
Felicidad Marcos Bautista,161.7548630083366,61.513246781010125
Graciana Tirado-Molina,186.62317676230475,114.72474363215328
Eva María Arribas Peinado,171.98383964141266,37.08199486204231
Clarisa Bermudez-Valcárcel,151.93851939479347,47.23643138739797
Curro de Hervia,163.25573669561135,31.17352574316004
Cecilia Manrique Roman,193.16959376338497,55.54467300400569
Dolores Roura-Cerezo,156.0763019843174,55.13119361236766
Che Hidalgo Giner,184.54967575897984,112.86610510184228
Macario Telmo Talavera Amat,180.75294857189263,99.4731466512198
Mirta Cárdenas,173.74052381744403,32.82270426549101
Amando de Valero,174.32936539819744,88.87144606578286
Salomé Bayo Moraleda,152.26169861061658,37.215981750464415
Maribel Jaén Morata,164.1672709258193,78.2318133340729
Teobaldo Ojeda Marcos,171.10309380259375,51.4395192022107
Cándida Porta Cañas,143.66449270250496,52.10837144941365
Demetrio Cabrera Galiano,148.1187157141063,43.24227656394847
Luis Barón Aguado,187.44299114060183,39.701563620678655
Artemio de Santiago,180.440010647917,95.97343571972876
Nilda Larrañaga Córdoba,160.02769978107898,77.63349391265739
Anselma Castells-Zurita,159.59133956398458,55.538099259479736
Albert Crespo-Lasa,142.36006496368205,34.700221744707406
Custodio Pomares,140.0,28.129077885162072
Pablo Kike Burgos Trillo,153.3922201191002,50.250457514271886
Charo del Cabeza,173.0512264992663,60.60818570626155
Bernardo Galvez-Tello,186.51718291472528,70.60652946278122
Ani de Torralba,193.99600535563044,78.28693747172406
Augusto Vega Vara,169.89506312530344,106.10267854792536
Ruth Nidia Bejarano Figueroa,175.02179363485297,70.78575321654031
Javier Velázquez Rivera,164.67922353706737,85.24753110006256
Jose Antonio Guardiola Rico,154.69294893718308,47.687247205453886
Baldomero Tejedor,182.4118074498625,51.09422207130533
Silvio Palomo-Expósito,176.93570309818645,73.929188418436
Américo Valls Sobrino,174.46368770991774,59.29538297316351
Jacinta Diaz Menéndez,159.71802331084498,36.77309376550095
Jose Miguel Porras Calzada,162.16508469511223,51.56070618260182
Porfirio Lara-Pellicer,174.86836217651694,116.62190198759438
Edu Atienza Muñoz,165.0721567506107,31.20785093627099
José Luis Calderón Espejo,154.56444901605497,29.611047432533116
Gloria Esparza Miguel,161.72128668983558,30.49731189457944
Gema Corbacho Amo,140.0,74.18541258879759
Mayte de Hoz,185.244594062471,128.7093925109765
Melania Simó Vives,152.63302604546004,66.05845445199168
Yéssica Calderón Márquez,195.53689877026747,53.75423924911924
Yago Montesinos Santana,184.38467512750472,50.18714941547368
Julián Medina Gomila,173.5092848738051,86.46279994545348
Angélica Estevez Pinto,162.66491164031655,70.42253563341097
Emma Casals Torrijos,151.8264125082663,66.89658372380816
Cecilia Quintana Duran,165.84604199614205,45.49071058440453
Flavio Barceló Prado,173.0148401938851,51.00053936807471
Angélica Bermúdez Mas,169.1737369531347,38.43743484225602
Alfredo Gibert Cerro,169.21735855588634,81.43950971321638
Salomé Ferrán Polo,173.05743203596325,71.18184707400225
Mariano Palomino Mendoza,159.9068702927593,58.06881174497281
Vicenta Fajardo Yuste,178.70186730409466,115.65459351886362
Palmira de Martín,158.1188918800361,39.190759777924455
Ale Aznar Almagro,170.84001942515147,60.96307938579388
Edgardo Rafael Morante Hernández,154.05097723097424,54.10251866831541
Fortunato Domínguez Piñol,171.99568079528385,56.360746640290216
Guillermo Palacios Valenciano,198.5706606897664,112.48835718278907
Valentina Cuenca Vidal,174.20428145616194,45.41797724992267
Samuel Sanmiguel Blanco,197.20799066431837,145.13004124566336
Asdrubal Olivé Cantón,145.94648829100962,27.318188926268657
Pepe Marcos Gonzalez,142.47771866291356,32.01867824611173
Abel del Téllez,175.6178323625192,78.34103464429589
Paulino Armando Bartolomé Montalbán,153.20488362179253,29.314000964422245
Haydée Campo Priego,181.6783922494523,73.6875856581424
Natanael Francisco Jose Pintor Molina,167.66103265490773,51.16596882131952
Brunilda Daza Camps,162.71801600775498,68.40745341745097
Modesta Palmira Ayuso Medina,158.1167331024205,51.31218881085408
Cirino del Morillo,184.2455389292288,58.20473187430021
Toño Alberto Villegas,182.25375917812656,54.08849399378563
Cipriano Casanovas Mata,198.04411980073883,68.59266131187208
Marcelino Clímaco Pavón Serna,166.1798945500495,66.13660429748711
Valero Alcalá-Rincón,150.03266644289553,54.77206713011277
Tadeo Rosales-Zamora,167.88596814449215,109.53510106905468
Alexandra Santos Nevado,169.37879129475527,46.65295463633254
Custodia Melero Ferrando,187.48635383759984,76.36683016211545
Pacífica Olga Niño Piñol,159.87919868817704,71.9064578247129
Fidel Hernando Goñi,174.42660002653923,40.50644770529705
Otilia Torrens,188.8854923954709,104.03386785756166
Paca Anglada-Valcárcel,156.56571607140677,31.445241430222215
Jerónimo Rocha Abella,163.70794373301737,101.02630004147775
Noemí Manzanares Villalba,184.01749258606984,54.07453258775041
Íngrid Berta Ibañez Badía,158.1990671075773,32.46405610196723
Leocadia Giménez Iglesia,188.9461101517345,107.46929443424511
Javiera Soler Bartolomé,166.52613322664476,89.17820809888477
Carina del Juan,180.03211436298585,102.03880049841752
Pepito Borrell Silva,159.28523473161837,62.43197107949745
Amando Aparicio Castells,184.47778346688173,108.30382267768736
Concepción Morillo Conde,169.91311416584963,69.6451817953108
Joaquín Isern Guerra,176.5452319856238,79.06730494378412
Vidal Rodrigo Larrañaga,182.14523747507585,125.75832318687148
Charo Ros Peláez,163.08499544990335,32.34650275369258
Iván Nico Cornejo Diéguez,177.92992634089222,79.82392565502256
Hugo Pérez Maestre,186.24210619787684,82.02695645157449
Custodia Liliana Barón Canals,192.7468009912508,134.48840503656638
Cirino Roldán Gabaldón,162.59051054394115,32.00349341807912
Olegario Adadia Feliu,169.64346167438495,108.94569385735882
Victor Llobet Pera,184.95992275174137,85.2758281104259
Palmira Niño Alcalá,170.67020457569066,86.98931503304047
Osvaldo de Palomar,182.49052813133724,102.87589932614134
Abel Bonilla,165.9034472768435,52.15320710155863
Salvador Ferrero Estrada,141.5984408085624,48.268609418363205
Angélica Bayo Rovira,166.8323396762148,28.32739893119038
Gilberto Blanes Fonseca,172.12318331620304,46.05636311060353
Odalis Torralba-Aguado,200.0,89.34946611482953
Calixta Manzano Caro,174.1575401826073,90.95810709139326
Enrique Arrieta Múñiz,183.32413923073136,80.31824194031127
Diana del Gonzalez,177.03845984054922,57.98514152232537
Aristides Carmona Espada,171.28768561796872,41.99562122882006
Nicolás Céspedes Fernández,200.0,51.87076824745275
Iker Pallarès Lara,171.56986002993898,72.38906429510195
Fanny Pizarro Pi,144.09893915922206,80.23277109309794
Apolinar Pinilla Otero,167.7235595819881,92.299488571192
Valentín Perales Segovia,166.84674484149784,55.73730061618072
María Del Carmen Lucena,193.3350686648699,44.67945811010633
Flavio Nilo Plana Gabaldón,140.453960528731,37.13880572047657
Nando Santana Galván,185.26513990642363,35.79024448695093
Lucio Quero-Sancho,141.04583117435214,34.718496834048054
Severo Arteaga Simó,156.87489957549317,52.34893484858311
Cristian Morcillo-Cortes,181.80214125927145,60.69022609234587
Pepita Zurita Castells,190.0087561798261,43.12126896263173
